scenario,seq_len,ground_truth,answer,lpips,seq_lpips
scene_470,7,False,yes,0.361723,0.397182
scene_44,8,True,no,0.239747,0.384304
scene_270,4,True,no,0.250383,0.357299
scene_618,5,False,no,0.210645,0.325345
scene_352,4,True,yes,0.616595,0.531097
scene_367,4,False,yes,0.499041,0.486910
scene_99,4,False,yes,0.393175,0.476772
scene_389,4,False,no,0.393560,0.478670
scene_94,5,True,yes,0.531306,0.502946
scene_688,5,True,no,0.453875,0.495847
scene_344,5,False,yes,0.089181,0.135429
scene_220,6,False,no,0.447094,0.476528
scene_159,5,False,yes,0.425959,0.483536
scene_667,4,False,yes,0.447713,0.404282
scene_348,8,False,no,0.103407,0.293018
scene_684,8,True,yes,0.354972,0.401989
scene_163,6,True,yes,0.327781,0.467771
scene_6,6,False,yes,0.278688,0.391732
scene_284,5,False,yes,0.382499,0.526060
scene_603,5,False,no,0.383636,0.416324
scene_459,4,False,no,0.548461,0.510692
scene_225,8,False,no,0.339901,0.348169
scene_429,5,False,no,0.548825,0.496906
scene_687,4,False,yes,0.526265,0.473034
scene_665,4,False,no,0.036409,0.028849
scene_203,8,True,yes,0.261203,0.449856
scene_574,4,True,yes,0.425589,0.458953
scene_27,8,False,no,0.125447,0.203498
scene_616,6,True,yes,0.297446,0.430035
scene_517,7,True,yes,0.475640,0.507429
scene_238,8,True,yes,0.246940,0.450210
scene_223,6,False,yes,0.083645,0.118252
scene_95,8,False,no,0.007474,0.243835
scene_30,6,True,yes,0.330022,0.376230
scene_32,8,False,yes,0.485411,0.455671
scene_432,6,False,no,0.124989,0.082169
scene_604,8,True,yes,0.509771,0.538158
scene_89,8,False,yes,0.144644,0.174035
scene_558,6,False,yes,0.450682,0.515605
scene_104,4,True,yes,0.528377,0.485160
scene_142,6,False,no,0.047233,0.310936
scene_228,5,True,no,0.305441,0.272115
scene_250,4,True,no,0.420971,0.428745
scene_281,5,False,no,0.033111,0.084808
scene_25,5,False,yes,0.438746,0.429993
scene_114,6,False,no,0.443133,0.528937
scene_654,8,False,no,0.243597,0.258389
